# Constructed from biom file																							
#OTU ID	S1	S10	S11	S12	S13	S15	S16	S17	S18	S2	S20	S21	S22	S23	S24	S3	S4	S5	S6	S7	S8	S9	Taxonomy
103	274	0	215	123	632	271	308	110	232	144	49	150	112	206	28	379	267	0	136	167	24	75	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales
104	266	33	21	0	163	460	402	166	273	109	18	0	13	37	0	353	762	446	206	22	37	111	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales
105	111	0	0	0	94	83	907	448	801	62	41	0	0	70	0	176	566	0	256	42	11	98	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales
106	111	101	48	78	123	26	67	90	143	221	267	85	91	269	701	231	127	294	240	38	118	263	k__Bacteria; p__; c__; o__; f__; g__; s__
107	64	126	295	287	0	3	3	37	29	37	178	434	759	150	81	40	7	366	209	258	238	95	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
108	29	0	0	0	166	219	442	87	304	258	0	0	0	0	0	523	576	181	877	0	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
109	0	579	0	31	14	0	0	0	0	0	321	0	0	1671	30	0	0	0	0	23	56	931	k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Thermogemmatisporales; f__Thermogemmatisporaceae; g__; s__
110	179	108	257	258	170	84	126	134	271	150	73	328	177	85	61	100	128	302	219	127	159	126	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodomicrobium; s__vannielii
111	34	313	337	285	7	0	0	0	0	61	95	366	655	301	170	0	0	9	16	227	450	294	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__Stella
112	0	1194	0	0	0	0	0	0	0	0	958	8	30	150	656	0	0	40	0	10	223	346	k__Bacteria; p__AD3
113	100	0	582	282	198	47	17	76	68	0	16	332	194	102	33	365	36	724	101	107	132	99	k__Bacteria
114	0	174	532	465	59	0	0	0	0	0	105	367	628	425	303	0	0	0	0	68	61	408	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae
115	299	117	45	51	259	117	148	300	448	247	53	0	57	67	41	322	400	172	265	24	24	68	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Xanthobacter; s__flavus
116	60	123	176	75	104	32	72	232	113	99	119	127	242	171	179	167	126	495	342	123	143	167	k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__MVS-65; g__; s__
117	0	193	203	217	0	0	0	0	0	0	496	140	219	45	44	0	0	0	0	259	1531	134	k__Bacteria; p__Actinobacteria
118	759	0	53	213	76	94	169	223	176	531	18	19	49	25	0	361	320	154	73	14	0	96	k__Archaea; p__Euryarchaeota; c__Methanomicrobia; o__Methanocellales; f__Methanocellaceae; g__Methanocella; s__
119	244	49	129	116	438	39	100	94	180	139	87	59	96	122	40	340	256	222	211	164	135	154	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales
120	0	316	91	91	37	49	453	37	118	58	213	78	119	250	350	238	278	24	130	79	103	297	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales
121	43	145	426	318	0	0	0	0	0	0	313	328	297	206	107	0	0	0	0	451	434	323	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales
122	70	389	449	188	125	0	0	30	50	46	164	129	162	165	53	0	0	143	38	371	219	585	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Thermomonosporaceae; g__Actinomadura; s__alba
123	148	27	41	20	640	488	180	128	68	6	21	43	62	205	35	100	118	28	586	227	14	128	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylocystaceae; g__Rhodoblastus
124	125	184	174	170	79	199	127	125	210	49	159	196	140	218	88	104	116	152	150	191	156	162	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae
125	62	143	315	297	263	56	78	44	92	42	177	246	270	148	79	75	132	130	35	167	265	141	k__Bacteria; p__Actinobacteria
126	113	31	106	216	310	254	165	96	129	24	106	192	169	226	39	86	233	178	223	155	73	122	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__paraputrificum
127	0	456	172	604	0	0	0	0	0	0	433	92	409	231	0	0	0	0	0	193	361	290	k__Bacteria; p__Chloroflexi
128	0	440	86	140	0	52	240	90	278	74	190	87	233	131	126	77	258	0	84	117	337	195	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales
