;Permanent;Permanent;Permanent;Permanent;Permanent;Permanent;Permanent;Permanent;Permanent;Permanent;Permanent;Permanent;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal
;Rainy;Rainy;Dry;Dry;Rainy;Rainy;Dry;Dry;Rainy;Rainy;Dry;Dry;Rainy;Rainy;Dry;Dry;Rainy;Rainy;Dry;Dry;Rainy;Rainy;Dry;Dry
;HA;Soil;HA;Soil;HA;Soil;HA;Soil;HA;Soil;HA;Soil;HA;Soil;HA;Soil;HA;Soil;HA;Soil;HA;Soil;AH;Soil
;P01;P01;P01;P01;P03;P03;P03;P03;P02;P02;P02;P02;P01;P01;P01;P01;P03;P03;P03;P03;P02;P02;P02;P02
Time;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts
0.534;0.00;45337.00;203.00;1007.00;3612.00;2487.00;0.00;0.00;1406.00;9306.00;168.00;0.00;179.00;641.00;0.00;172.00;0.00;0.00;5749.00;0.00;724.00;29698.00;0.00;0.00
0.539;0.00;45336.00;284.00;1832.00;2981.00;1956.00;0.00;152.00;1694.00;11301.00;338.00;0.00;311.00;399.00;155.00;186.00;157.00;0.00;5468.00;0.00;1160.00;29549.00;0.00;180.00
0.545;221.00;44943.00;384.00;1790.00;3994.00;3566.00;0.00;153.00;1205.00;11238.00;180.00;0.00;556.00;443.00;0.00;172.00;333.00;0.00;5699.00;0.00;1487.00;27090.00;0.00;229.00
0.551;0.00;45895.00;227.00;1738.00;2697.00;2559.00;0.00;0.00;1972.00;12240.00;0.00;0.00;178.00;360.00;0.00;0.00;0.00;0.00;6214.00;0.00;1155.00;28047.00;0.00;188.00
0.556;0.00;48499.00;214.00;2039.00;2957.00;2779.00;0.00;182.00;1658.00;10304.00;157.00;150.00;171.00;352.00;0.00;0.00;159.00;0.00;5449.00;0.00;972.00;30078.00;0.00;178.00
0.562;0.00;44693.00;468.00;1128.00;3822.00;2667.00;0.00;214.00;2063.00;10524.00;173.00;0.00;0.00;170.00;0.00;153.00;0.00;0.00;5075.00;0.00;1152.00;28011.00;0.00;365.00
0.568;0.00;44798.00;613.00;1615.00;3462.00;2596.00;0.00;164.00;1524.00;12562.00;0.00;164.00;0.00;354.00;0.00;163.00;157.00;0.00;5148.00;0.00;1100.00;27681.00;0.00;346.00
0.574;0.00;45169.00;421.00;1256.00;4034.00;1647.00;0.00;0.00;1187.00;12427.00;334.00;0.00;167.00;341.00;163.00;0.00;0.00;0.00;5546.00;0.00;1501.00;28263.00;0.00;517.00
0.579;0.00;44721.00;223.00;1895.00;3433.00;1962.00;151.00;216.00;1378.00;11354.00;0.00;330.00;0.00;163.00;0.00;176.00;0.00;0.00;5196.00;0.00;793.00;27501.00;0.00;327.00
0.585;0.00;45736.00;302.00;1554.00;3235.00;2239.00;0.00;154.00;1529.00;10954.00;0.00;150.00;162.00;0.00;0.00;0.00;373.00;0.00;4563.00;0.00;430.00;26522.00;0.00;333.00
0.591;0.00;44322.00;260.00;1256.00;3055.00;2018.00;0.00;0.00;1594.00;10854.00;171.00;336.00;191.00;725.00;0.00;0.00;157.00;0.00;4918.00;0.00;1702.00;26560.00;0.00;208.00
0.597;0.00;45941.00;386.00;672.00;2511.00;2501.00;0.00;322.00;1648.00;11131.00;153.00;158.00;0.00;360.00;0.00;0.00;177.00;0.00;5053.00;0.00;1332.00;27040.00;0.00;568.00
